date,global,lag_1,lag_2,lag_3,lag_4,lag_5,lag_6,lag_7,lag_8,lag_9,lag_10
2018-12-17,-0.9705554101390309,-1.2271168744683525,0.22869524835682462,1.5195350040399298,0.5919816389425493,-1.4345742749678712,-0.17921844446376442,-2.4337162428476464,-1.424843597016011,-1.568157057406195,1.5241858048811252
2018-12-18,-0.6733255591379975,-0.9705554101390309,-1.2271168744683525,0.22869524835682462,1.5195350040399298,0.5919816389425493,-1.4345742749678712,-0.17921844446376442,-2.4337162428476464,-1.424843597016011,-1.568157057406195
2018-12-19,-0.07222360600993616,-0.6733255591379975,-0.9705554101390309,-1.2271168744683525,0.22869524835682462,1.5195350040399298,0.5919816389425493,-1.4345742749678712,-0.17921844446376442,-2.4337162428476464,-1.424843597016011
2018-12-20,-1.7213817291265567,-0.07222360600993616,-0.6733255591379975,-0.9705554101390309,-1.2271168744683525,0.22869524835682462,1.5195350040399298,0.5919816389425493,-1.4345742749678712,-0.17921844446376442,-2.4337162428476464
2018-12-21,-0.4584435732484993,-1.7213817291265567,-0.07222360600993616,-0.6733255591379975,-0.9705554101390309,-1.2271168744683525,0.22869524835682462,1.5195350040399298,0.5919816389425493,-1.4345742749678712,-0.17921844446376442
2018-12-24,-1.0128184609269584,-0.4584435732484993,-1.7213817291265567,-0.07222360600993616,-0.6733255591379975,-0.9705554101390309,-1.2271168744683525,0.22869524835682462,1.5195350040399298,0.5919816389425493,-1.4345742749678712
2018-12-25,-1.4565954897182731,-1.0128184609269584,-0.4584435732484993,-1.7213817291265567,-0.07222360600993616,-0.6733255591379975,-0.9705554101390309,-1.2271168744683525,0.22869524835682462,1.5195350040399298,0.5919816389425493
2018-12-26,0.7022829494351669,-1.4565954897182731,-1.0128184609269584,-0.4584435732484993,-1.7213817291265567,-0.07222360600993616,-0.6733255591379975,-0.9705554101390309,-1.2271168744683525,0.22869524835682462,1.5195350040399298
2018-12-27,-0.08637276619111607,0.7022829494351669,-1.4565954897182731,-1.0128184609269584,-0.4584435732484993,-1.7213817291265567,-0.07222360600993616,-0.6733255591379975,-0.9705554101390309,-1.2271168744683525,0.22869524835682462
2018-12-28,0.9395712095842943,-0.08637276619111607,0.7022829494351669,-1.4565954897182731,-1.0128184609269584,-0.4584435732484993,-1.7213817291265567,-0.07222360600993616,-0.6733255591379975,-0.9705554101390309,-1.2271168744683525
2018-12-31,0.838761002482551,0.9395712095842943,-0.08637276619111607,0.7022829494351669,-1.4565954897182731,-1.0128184609269584,-0.4584435732484993,-1.7213817291265567,-0.07222360600993616,-0.6733255591379975,-0.9705554101390309
2019-01-01,0.8488323122382545,0.838761002482551,0.9395712095842943,-0.08637276619111607,0.7022829494351669,-1.4565954897182731,-1.0128184609269584,-0.4584435732484993,-1.7213817291265567,-0.07222360600993616,-0.6733255591379975
2019-01-02,-0.6649982488490801,0.8488323122382545,0.838761002482551,0.9395712095842943,-0.08637276619111607,0.7022829494351669,-1.4565954897182731,-1.0128184609269584,-0.4584435732484993,-1.7213817291265567,-0.07222360600993616
2019-01-03,-1.1303546407695115,-0.6649982488490801,0.8488323122382545,0.838761002482551,0.9395712095842943,-0.08637276619111607,0.7022829494351669,-1.4565954897182731,-1.0128184609269584,-0.4584435732484993,-1.7213817291265567
2019-01-04,2.196323188904008,-1.1303546407695115,-0.6649982488490801,0.8488323122382545,0.838761002482551,0.9395712095842943,-0.08637276619111607,0.7022829494351669,-1.4565954897182731,-1.0128184609269584,-0.4584435732484993
2019-01-07,0.8920967168755345,2.196323188904008,-1.1303546407695115,-0.6649982488490801,0.8488323122382545,0.838761002482551,0.9395712095842943,-0.08637276619111607,0.7022829494351669,-1.4565954897182731,-1.0128184609269584
2019-01-08,0.9292539157840881,0.8920967168755345,2.196323188904008,-1.1303546407695115,-0.6649982488490801,0.8488323122382545,0.838761002482551,0.9395712095842943,-0.08637276619111607,0.7022829494351669,-1.4565954897182731
2019-01-09,1.2539995077309118,0.9292539157840881,0.8920967168755345,2.196323188904008,-1.1303546407695115,-0.6649982488490801,0.8488323122382545,0.838761002482551,0.9395712095842943,-0.08637276619111607,0.7022829494351669
2019-01-10,0.12799526672925698,1.2539995077309118,0.9292539157840881,0.8920967168755345,2.196323188904008,-1.1303546407695115,-0.6649982488490801,0.8488323122382545,0.838761002482551,0.9395712095842943,-0.08637276619111607
2019-01-11,0.051271963367776195,0.12799526672925698,1.2539995077309118,0.9292539157840881,0.8920967168755345,2.196323188904008,-1.1303546407695115,-0.6649982488490801,0.8488323122382545,0.838761002482551,0.9395712095842943
2019-01-14,-0.4151859370833509,0.051271963367776195,0.12799526672925698,1.2539995077309118,0.9292539157840881,0.8920967168755345,2.196323188904008,-1.1303546407695115,-0.6649982488490801,0.8488323122382545,0.838761002482551
2019-01-15,0.8280666101778168,-0.4151859370833509,0.051271963367776195,0.12799526672925698,1.2539995077309118,0.9292539157840881,0.8920967168755345,2.196323188904008,-1.1303546407695115,-0.6649982488490801,0.8488323122382545
2019-01-16,0.2759418503682052,0.8280666101778168,-0.4151859370833509,0.051271963367776195,0.12799526672925698,1.2539995077309118,0.9292539157840881,0.8920967168755345,2.196323188904008,-1.1303546407695115,-0.6649982488490801
2019-01-17,-0.07252796278251922,0.2759418503682052,0.8280666101778168,-0.4151859370833509,0.051271963367776195,0.12799526672925698,1.2539995077309118,0.9292539157840881,0.8920967168755345,2.196323188904008,-1.1303546407695115
